Source: USDA Branded Food Products Database Release July 2018 Software v.3.9.5 2018-08-15
Report Run at: August 19 2018 22:36 EDT
"Nutrient data for: PUB FLAT IRON STEAKS WITH COMPOUND BUTTER & TWICE-BAKED POTATOES MEALTIME KIT, UPC: 075450176490"
Food Group:  Branded Food Products Database
Common Name:

Nutrient,Unit,Data points,Std. Error,"0.5 PACKAGE = 325.0g",1Value per 100 g,
Proximates
"Energy",kcal,--,--,689,212
"Protein",g,--,--,28.01,8.62
"Total lipid (fat)",g,--,--,49.98,15.38
"Carbohydrate, by difference",g,--,--,32.99,10.15
"Fiber, total dietary",g,--,--,2.9,0.9
"Sugars, total",g,--,--,4.00,1.23
Minerals
"Calcium, Ca",mg,--,--,81,25
"Iron, Fe",mg,--,--,4.48,1.38
"Sodium, Na",mg,--,--,1180,363
Vitamins
"Vitamin C, total ascorbic acid",mg,--,--,14.9,4.6
"Vitamin A, IU",IU,--,--,1001,308
Lipids
"Fatty acids, total saturated",g,--,--,23.985,7.380
"Fatty acids, total trans",g,--,--,0.487,0.150
"Cholesterol",mg,--,--,156,48
Amino Acids
Other
Ingredients
"BEEF FLAT IRON STEAK, POTATOES, POTATO SKINS (POTATO), BUTTER (SWEET CREAM, NATURAL FLAVOR), SOUR CREAM (MILK, CREAM, NONFAT DRY MILK, FOOD STARCH-MODIFIED, SODIUM PHOSPHATE, GUAR GUM, CARRAGEENAN, SODIUM CITRATE, LOCUST BEAN GUM, CULTURE, NATAMYCIN [PRESERVATIVE]), MOZZARELLA CHEESE (PASTEURIZED MILK, CHEESE CULTURES, SALT, ENZYMES, POTATO STARCH, CORNSTARCH, POWDERED CELLULOSE [TO PREVENT CAKING], NATAMYCIN [A NATURAL MOLD INHIBITOR]), LIQUID SHORTENING (HIGH OLEIC CANOLA OIL, SOYBEAN OIL, HYDROGENATED SOYBEAN OIL, SALT, SOYBEAN LECITHIN, NATURAL AND ARTIFICIAL BUTTER FLAVOR, TBHQ, CITRIC ACID, BETA CAROTENE [COLOR], VITAMIN A PALMITATE), FIRE ROASTED TOMATO, SEASONING (OREGANO, BASIL, MARJORAM, THYME, ROSEMARY, PARSLEY, SAVORY, SALT, SUGAR, GARLIC, BELL PEPPER, ONION, CRUSHED RED PEPPER, SPICES), SPINACH, FOOD STARCH-MODIFIED, WATER, FRENCH ONION SEASONING (DEHYDRATED ONION, SALT, DEXTROSE, SUGAR, HYDROLYZED SOY AND CORN PROTEIN, NATURAL FLAVOR [TORULA YEAST], PARSLEY, GARLIC POWDER), SALT, POTASSIUM SORBATE (PRESERVATIVE), SODIUM BENZOATE (PRESERVATIVE), TITANIUM DIOXIDE (COLOR)." Date available: 05/14/2018 Date last updated by company: 05/14/2018
