Source: USDA Branded Food Products Database Release July 2018 Software v.3.9.5 2018-08-15
Report Run at: August 19 2018 17:55 EDT
"Nutrient data for: MEXICAN-STYLE PULLED PORK BOWL, UPC: 025800000210"
Food Group:  Branded Food Products Database
Common Name:

Nutrient,Unit,Data points,Std. Error,"1 PACKAGE = 283.0g",1Value per 100 g,
Proximates
"Energy",kcal,--,--,320,113
"Protein",g,--,--,26.01,9.19
"Total lipid (fat)",g,--,--,9.00,3.18
"Carbohydrate, by difference",g,--,--,33.00,11.66
"Fiber, total dietary",g,--,--,7.1,2.5
"Sugars, total",g,--,--,5.01,1.77
Minerals
"Calcium, Ca",mg,--,--,150,53
"Iron, Fe",mg,--,--,2.69,0.95
"Sodium, Na",mg,--,--,671,237
Vitamins
"Vitamin C, total ascorbic acid",mg,--,--,65.9,23.3
"Vitamin A, IU",IU,--,--,1500,530
Lipids
"Fatty acids, total saturated",g,--,--,4.500,1.590
"Fatty acids, total monounsaturated",g,--,--,2.009,0.710
"Fatty acids, total polyunsaturated",g,--,--,1.500,0.530
"Fatty acids, total trans",g,--,--,0.000,0.000
"Cholesterol",mg,--,--,51,18
Amino Acids
Other
Ingredients
"VEGETABLE BLEND (COOKED BLACK BEANS, CORN, GREEN BELL PEPPERS, ROASTED ONIONS, ROASTED RED BELL PEPPERS, FIRE ROASTED TOMATOES), COOKED SEASONED PORK (PORK, WATER, ORANGE JUICE CONCENTRATE, SALT, GARLIC POWDER, ONION POWDER), SAUCE (WATER, TOMATILLOS, FIRE ROASTED POBLANO PEPPERS, GREEN CHILES, ONIONS, CORNSTARCH, JALAPENO PEPPERS, CHICKEN MEAT [INCLUDING CHICKEN JUICES], HONEY, SALT, CILANTRO, LIME JUICE CONCENTRATE, DEHYDRATED ONION, GRANULATED GARLIC, FLAVORINGS [ONION POWDER, SOL POULTRY FLAVOR AND ROSEMARY], SPICE, NATURAL FLAVORS, CARROT POWDER, TURMERIC), COOKED BROWN RICE (WATER, BROWN RICE), MONTEREY JACK CHEESE (CULTURED MILK, SALT, ENZYMES)." Date available: 02/16/2018 Date last updated by company: 02/16/2018
