Source: USDA Branded Food Products Database Release July 2018 Software v.3.9.5 2018-08-15
Report Run at: August 19 2018 19:46 EDT
"Nutrient data for: SEASONED TURKEY BURGERS, UPC: 073007102923"
Food Group:  Branded Food Products Database
Common Name:

Nutrient,Unit,Data points,Std. Error,"1 BURGER = 151.0g",1Value per 100 g,
Proximates
"Energy",kcal,--,--,240,159
"Protein",g,--,--,30.00,19.87
"Total lipid (fat)",g,--,--,13.00,8.61
"Carbohydrate, by difference",g,--,--,1.99,1.32
"Fiber, total dietary",g,--,--,0.0,0.0
"Sugars, total",g,--,--,1.00,0.66
Minerals
"Calcium, Ca",mg,--,--,39,26
"Iron, Fe",mg,--,--,1.80,1.19
"Sodium, Na",mg,--,--,390,258
Vitamins
"Vitamin C, total ascorbic acid",mg,--,--,0.0,0.0
"Vitamin A, IU",IU,--,--,0,0
Lipids
"Fatty acids, total saturated",g,--,--,3.503,2.320
"Fatty acids, total trans",g,--,--,0.498,0.330
"Cholesterol",mg,--,--,106,70
Amino Acids
Other
Ingredients
"TURKEY, SEASONING (SUGAR, SALT, ONION, SPICES, GARLIC, NATURAL FLAVOR), KOSHER SALT, ROSEMARY EXTRACT." Date available: 05/10/2018 Date last updated by company: 05/10/2018
