Source: USDA Branded Food Products Database Release July 2018 Software v.3.9.5 2018-08-15
Report Run at: August 19 2018 19:50 EDT
"Nutrient data for: PROTEIN POWDER, UPC: 749826579481"
Food Group:  Branded Food Products Database
Common Name:

Nutrient,Unit,Data points,Std. Error,"1 SCOOP = 39.0g",1Value per 100 g,
Proximates
"Energy",kcal,--,--,160,410
"Protein",g,--,--,25.00,64.10
"Total lipid (fat)",g,--,--,2.50,6.41
"Carbohydrate, by difference",g,--,--,8.00,20.51
"Fiber, total dietary",g,--,--,0.0,0.0
"Sugars, total",g,--,--,2.00,5.13
Minerals
"Calcium, Ca",mg,--,--,200,513
"Iron, Fe",mg,--,--,0.00,0.00
"Magnesium, Mg",mg,--,--,16,41
"Phosphorus, P",mg,--,--,100,256
"Potassium, K",mg,--,--,160,410
"Sodium, Na",mg,--,--,100,256
Vitamins
"Vitamin C, total ascorbic acid",mg,--,--,0.0,0.0
"Vitamin A, IU",IU,--,--,0,0
Lipids
"Fatty acids, total saturated",g,--,--,1.502,3.850
"Fatty acids, total trans",g,--,--,0.000,0.000
"Cholesterol",mg,--,--,85,218
Amino Acids
"Tryptophan",g,--,--,0.485,1.244
"Threonine",g,--,--,1.665,4.269
"Isoleucine",g,--,--,1.460,3.744
"Leucine",g,--,--,2.450,6.282
"Lysine",g,--,--,2.041,5.233
"Methionine",g,--,--,0.562,1.441
"Phenylalanine",g,--,--,0.808,2.072
"Tyrosine",g,--,--,0.722,1.851
"Valine",g,--,--,1.376,3.528
"Arginine",g,--,--,0.565,1.449
"Histidine",g,--,--,0.439,1.126
"Alanine",g,--,--,1.139,2.921
"Aspartic acid",g,--,--,2.980,7.641
"Glutamic acid",g,--,--,3.919,10.049
"Glycine",g,--,--,0.439,1.126
"Proline",g,--,--,1.415,3.628
"Serine",g,--,--,1.193,3.059
Other
Ingredients
"PROTEIN BLEND (ULTRAFILTERED WHEY PROTEIN CONCENTRATE [WHICH CONTAINS BETA-LACTOGLOBULIN, ALPHA-LACTALBUMIN AND GLYCOMACROPEPTIDES], MICROFILTERED WHEY PROTEIN ISOLATE), MALTODEXTRIN, NATURAL AND ARTIFICIAL FLAVORS, SOY LECITHIN, CELLULOSE GUM, XANTHAN GUM, DICALCIUM PHOSPHATE, CALCIUM CARBONATE, ACESULFAME POTASSIUM, SUCRALOSE." Date available: 06/07/2018 Date last updated by company: 06/07/2018
