Source: USDA Branded Food Products Database Release July 2018 Software v.3.9.5 2018-08-15
Report Run at: August 19 2018 18:19 EDT
"Nutrient data for: JUMBO FRESH EGGS, UPC: 041303026571"
Food Group:  Branded Food Products Database
Common Name:

Nutrient,Unit,Data points,Std. Error,"1 EGG = 63.0g",1Value per 100 g,
Proximates
"Energy",kcal,--,--,90,143
"Protein",g,--,--,8.00,12.70
"Total lipid (fat)",g,--,--,6.00,9.52
"Carbohydrate, by difference",g,--,--,0.00,0.00
"Fiber, total dietary",g,--,--,0.0,0.0
"Sugars, total",g,--,--,0.00,0.00
Minerals
"Calcium, Ca",mg,--,--,20,32
"Iron, Fe",mg,--,--,1.08,1.71
"Sodium, Na",mg,--,--,90,143
Vitamins
"Vitamin D",IU,--,--,24,38
Lipids
"Fatty acids, total saturated",g,--,--,1.997,3.170
"Fatty acids, total trans",g,--,--,0.000,0.000
"Cholesterol",mg,--,--,235,373
Amino Acids
Other
