Source: USDA Branded Food Products Database Release July 2018 Software v.3.9.5 2018-08-15
Report Run at: August 19 2018 20:53 EDT
"Nutrient data for: ENRICHED CRANBERRY MIX, UPC: 072036899538"
Food Group:  Branded Food Products Database
Common Name:

Nutrient,Unit,Data points,Std. Error,"1 ONZ = 28.0g",1Value per 100 g,
Proximates
"Energy",kcal,--,--,130,464
"Protein",g,--,--,2.00,7.14
"Total lipid (fat)",g,--,--,7.00,25.00
"Carbohydrate, by difference",g,--,--,15.00,53.57
"Fiber, total dietary",g,--,--,2.0,7.1
"Sugars, total",g,--,--,11.00,39.29
"Sugars, added",g,--,--,7.0,25.0
Minerals
"Calcium, Ca",mg,--,--,30,107
"Iron, Fe",mg,--,--,0.00,0.00
"Potassium, K",mg,--,--,60,214
"Sodium, Na",mg,--,--,0,0
Vitamins
"Vitamin D",IU,--,--,0,0
Lipids
"Fatty acids, total saturated",g,--,--,2.999,10.710
"Fatty acids, total trans",g,--,--,0.000,0.000
"Cholesterol",mg,--,--,0,0
Amino Acids
Other
Ingredients
"DRIED CRANBERRIES (CRANBERRIES, SUGAR, SUNFLOWER OIL), SEMI SWEET CHOCOLATE (SUGAR, UNSWEETENED CHOCOLATE, COCOA BUTTER. MILK FAT, SOY LECITHIN, VANILLA EXTRACT, CORN DEXTRIN, FOOD GLAZE (FOOD GRADE REFINED BLEACHED LACQUER)), DRIED CRANBERRIES (CRANBERRIES, SUGAR, SUNFLOWER OIL), YOGURT COATED PEANUTS (SUGAR, PARTIALLY HYDROGENATED PALM KERNEL OIL, SWEET WHEY, NONFAT DRY MILK. YOGURT POWDER, SOY LECITHIN, TITANIUM, SALT, VANILLIN. CANOLA OIL), ALMONDS, DARK CHOCOLATE (CHOCOLATE SUGAR COCOA BUTTER SOY LECITHIN VANILLA)" Date available: 05/14/2018 Date last updated by company: 05/14/2018
