Source: USDA Branded Food Products Database Release July 2018 Software v.3.9.5 2018-08-15
Report Run at: August 19 2018 20:14 EDT
"Nutrient data for: CORN DOGS, UPC: 071068210274"
Food Group:  Branded Food Products Database
Common Name:

Nutrient,Unit,Data points,Std. Error,"1 CORN DOG = 76.0g",1Value per 100 g,
Proximates
"Energy",kcal,--,--,220,289
"Protein",g,--,--,5.00,6.58
"Total lipid (fat)",g,--,--,11.00,14.47
"Carbohydrate, by difference",g,--,--,25.00,32.89
"Fiber, total dietary",g,--,--,0.0,0.0
"Sugars, total",g,--,--,7.00,9.21
Minerals
"Calcium, Ca",mg,--,--,20,26
"Iron, Fe",mg,--,--,1.08,1.42
"Sodium, Na",mg,--,--,430,566
Vitamins
"Vitamin C, total ascorbic acid",mg,--,--,1.2,1.6
"Vitamin A, IU",IU,--,--,0,0
Lipids
"Fatty acids, total saturated",g,--,--,3.504,4.610
"Fatty acids, total trans",g,--,--,0.000,0.000
"Cholesterol",mg,--,--,20,26
Amino Acids
Other
Ingredients
"BATTER: WATER, ENRICHED WHEAT FLOUR (ENRICHED WITH NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), SUGAR, ENRICHED CORN MEAL (ENRICHED WITH NIACIN, IRON, RIBOFLAVIN, THIAMINE MONONITRATE, FOLIC ACID), CONTAINS 2% OR LESS: LEAVENING (SODIUM ACID PYROPHOSPHATE, SODIUM BICARBONATE), MODIFIED WHEAT STARCH, SOYBEAN OIL, SALT, HONEY SOLIDS (WITH WHEAT STARCH, CALCIUM STEARATE), ARTIFICIAL FLAVOR, ONION POWDER, DRIED WHOLE EGGS, NONFAT DRY MILK. COOKED IN VEGETABLE OIL. HOT DOG MADE WITH BEEF AND PORK, TURKEY: BEEF AND PORK, MECHANICALLY SEPARATED TURKEY, WATER, CORN SYRUP, CONTAINS 2% OR LESS OF: SALT, POTASSIUM LACTATE, PARTIALLY HYDROLYZED BEEF STOCK, SODIUM PHOSPHATES, FLAVORINGS, SODIUM DIACETATE, ASCORBIC ACID (VITAMIN C), SODIUM NITRITE. EXTRACTIVES OF PAPRIKA." Date available: 05/14/2018 Date last updated by company: 05/14/2018
