Source: USDA Branded Food Products Database Release July 2018 Software v.3.9.5 2018-08-15
Report Run at: August 19 2018 18:07 EDT
"Nutrient data for: ICE CREAM, UPC: 070640014835"
Food Group:  Branded Food Products Database
Common Name:

Nutrient,Unit,Data points,Std. Error,"0.5 cup = 81.0g",1Value per 100 g,
Proximates
"Energy",kcal,--,--,190,235
"Protein",g,--,--,3.00,3.70
"Total lipid (fat)",g,--,--,9.00,11.11
"Carbohydrate, by difference",g,--,--,24.00,29.63
"Fiber, total dietary",g,--,--,1.0,1.2
"Sugars, total",g,--,--,20.00,24.69
Minerals
"Calcium, Ca",mg,--,--,100,123
"Iron, Fe",mg,--,--,0.36,0.44
"Potassium, K",mg,--,--,180,222
"Sodium, Na",mg,--,--,80,99
Vitamins
"Vitamin C, total ascorbic acid",mg,--,--,0.0,0.0
"Vitamin A, IU",IU,--,--,300,370
Lipids
"Fatty acids, total saturated",g,--,--,6.002,7.410
"Fatty acids, total trans",g,--,--,0.000,0.000
"Cholesterol",mg,--,--,30,37
Amino Acids
Other
Ingredients
"MILK, CREAM, SKIM MILK, SUGAR, BUTTERMILK, WHEY, FUDGE SWIRL {SWEETENED CONDENSED SKIM MILK (SKIM MILK, SUGAR, CORN SYRUP), SUGAR, WATER, DEXTROSE, COCOA PROCESSED WITH ALKALI, BUTTER (CREAM, SALT), CORN SYRUP, UNSWEETENED CHOCOLATE, CONTAINS 2% OR LESS OF THE FOLLOWING: SALT, DISODIUM PHOSPHATE, PECTIN (PECTIN, SUGAR), ARTIFICIAL FLAVOR}, MINT CHOCOLATE COOKIE CHUNK {SUGAR, CHOCOLATE COOKIE PIECES (UNBLEACHED UNENRICHED WHEAT FLOUR, SUGAR, PALM OIL, COCOA PROCESSED WITH ALKALI, SALT, NATURAL FLAVOR, SODIUM BICARBONATE), COCONUT OIL, NONFAT MILK, COCOA PROCESSED WITH ALKALI, PALM KERNEL OIL, MILKFAT, COCOA, WHOLE MILK, SOY LECITHIN, OIL OF PEPPERMINT, PROPYLENE GLYCOL, NATURAL FLAVORS, SALT, SUNFLOWER LECITHIN, RED CABBAGE AND CURCUMIN FOR COLOR}, CORN SYRUP, CONTAINS 1% OR LESS OF NATURAL FLAVORS, CAROB BEAN GUM, GUAR GUM, CARRAGEENAN, MONO & DIGLYCERIDES, CELLULOSE GEL, CELLULOSE GUM, YELLOW 5, BLUE 1." Date available: 03/10/2018 Date last updated by company: 03/10/2018
