Source: USDA Branded Food Products Database Release July 2018 Software v.3.9.5 2018-08-15
Report Run at: August 19 2018 17:48 EDT
"Nutrient data for: CADBURY GREEN & BLACK'S CHOCOLATE PIECES SEA SALT 1X4.23 OZ, UNPREPARED, GTIN: 00708656000589"
Food Group:  Branded Food Products Database
Common Name:

Nutrient,Unit,Data points,Std. Error,"4.0 pieces (40g) = 40.0g",1Value per 100 g,
Proximates
"Protein",g,--,--,4.00,10.00
"Total lipid (fat)",g,--,--,14.00,35.00
"Carbohydrate, by difference",g,--,--,20.00,50.00
"Fiber, total dietary",g,--,--,1.0,2.5
"Sugars, total",g,--,--,18.00,45.00
Minerals
"Calcium, Ca",mg,--,--,111,277
"Iron, Fe",mg,--,--,1.11,2.77
"Sodium, Na",mg,--,--,110,275
Vitamins
"Vitamin C, total ascorbic acid",mg,--,--,0.0,0.0
Lipids
"Fatty acids, total saturated",g,--,--,9.000,22.500
"Fatty acids, total trans",g,--,--,0.000,0.000
"Cholesterol",mg,--,--,5,12
Amino Acids
Other
Ingredients
"INGREDIENTS: MILK CHOCOLATE (ORGANIC RAW CANE SUGAR, MILK, ORGANIC COCOA BUTTER, ORGANIC CHOCOLATE, SOY LECITHIN, ORGANIC VANILLA EXTRACT), SEA SALT. TREE NUTS." Date available: 05/02/2018 Date last updated by company: 03/10/2018
