Source: USDA Branded Food Products Database Release July 2018 Software v.3.9.5 2018-08-15
Report Run at: August 19 2018 17:49 EDT
"Nutrient data for: ROASTED TURKEY BREAST, UPC: 013800148001"
Food Group:  Branded Food Products Database
Common Name:

Nutrient,Unit,Data points,Std. Error,"1 PACKAGE = 340.0g",1Value per 100 g,
Proximates
"Energy",kcal,--,--,299,88
"Protein",g,--,--,19.01,5.59
"Total lipid (fat)",g,--,--,7.00,2.06
"Carbohydrate, by difference",g,--,--,39.00,11.47
"Fiber, total dietary",g,--,--,4.1,1.2
"Sugars, total",g,--,--,9.01,2.65
Minerals
"Calcium, Ca",mg,--,--,82,24
"Iron, Fe",mg,--,--,1.80,0.53
"Potassium, K",mg,--,--,901,265
"Sodium, Na",mg,--,--,768,226
Vitamins
"Vitamin C, total ascorbic acid",mg,--,--,4.8,1.4
"Vitamin A, IU",IU,--,--,201,59
Lipids
"Fatty acids, total saturated",g,--,--,1.496,0.440
"Fatty acids, total monounsaturated",g,--,--,1.496,0.440
"Fatty acids, total polyunsaturated",g,--,--,3.502,1.030
"Fatty acids, total trans",g,--,--,0.000,0.000
"Cholesterol",mg,--,--,31,9
Amino Acids
Other
Ingredients
"WATER, POTATOES, GREEN BEANS, GLAZED TURKEY TENDERLOINS (COOKED TURKEY TENDERLOINS, WATER, MODIFIED CORNSTARCH, SEASONING (AUTOLYZED YEAST EXTRACT, MALTODEXTRIN, SALT, TURKEY FLAVOR, TURKEY STOCK, FLAVOR, GUM ARABIC], CARRAGEENAN, CANOLA OIL, SODIUM PHOSPHATE, NATURAL FLAVORING, SALT, POTASSIUM CHLORIDE, PAPRIKA), BREAD CRUMBS (ENRICHED WHEAT FLOUR [ENRICHED WITH NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID], CANE SUGAR, SOYBEAN OIL, SEA SALT, YEAST, NATURAL FLAVOR), SKIM MILK, 2% OR LESS OF ONIONS, DRIED CRANBERRIES (CRANBERRIES, SUGAR, SUNFLOWER OIL), SOYBEAN OIL, CELERY, MODIFIED CORNSTARCH, SALT, BLEACHED WHEAT FLOUR, SEASONING (MALTODEXTRIN, SALT, FLAVORING, CHICKEN FAT, SODIUM LACTATE, DRIED CHICKEN BROTH, AUTOLYZED YEAST EXTRACT, GUM ACACIA, SESAME OIL, LESS THAN 2% CITRIC ACID, LACTIC ACID, CANOLA LECITHIN, POTASSIUM PHOSPHATE, POTATO MALTODEXTRIN, SODIUM CITRATE, SODIUM PHOSPHATES), POTASSIUM CHLORIDE, YEAST EXTRACT, SPICES, SEASONING (WHEAT STARCH, EXTRACTS OF ANNATTO AND TURMERIC COLOR, NATURAL FLAVOR), GARLIC PUREE, DEHYDRATED ONIONS, CARAMEL COLOR, CULTURED WHEY, CARRAGEENAN WITH DEXTROSE." Date available: 03/11/2018 Date last updated by company: 03/11/2018
