Source: USDA Branded Food Products Database Release July 2018 Software v.3.9.5 2018-08-15
Report Run at: August 19 2018 20:23 EDT
"Nutrient data for: ENTREE KIT CITRUS ROASTED CHICKEN, UPC: 023700048004"
Food Group:  Branded Food Products Database
Common Name:

Nutrient,Unit,Data points,Std. Error,"0.5 PACKAGE = 182.0g",1Value per 100 g,
Proximates
"Energy",kcal,--,--,320,176
"Protein",g,--,--,35.00,19.23
"Total lipid (fat)",g,--,--,9.99,5.49
"Carbohydrate, by difference",g,--,--,23.00,12.64
"Fiber, total dietary",g,--,--,0.9,0.5
"Sugars, total",g,--,--,6.01,3.30
Minerals
"Calcium, Ca",mg,--,--,20,11
"Iron, Fe",mg,--,--,1.44,0.79
"Sodium, Na",mg,--,--,1070,588
Vitamins
"Vitamin C, total ascorbic acid",mg,--,--,3.6,2.0
"Vitamin A, IU",IU,--,--,100,55
Lipids
"Fatty acids, total saturated",g,--,--,2.002,1.100
"Fatty acids, total monounsaturated",g,--,--,6.006,3.300
"Fatty acids, total polyunsaturated",g,--,--,1.492,0.820
"Fatty acids, total trans",g,--,--,0.000,0.000
"Cholesterol",mg,--,--,89,49
Amino Acids
Other
Ingredients
"FULLY COOKED SEASONED BONELESS, SKINLESS CHICKEN BREAST WITH RIB MEAT, COATED WITH RED BELL PEPPER AND SPICES: BONELESS, SKINLESS CHICKEN BREAST WITH RIB MEAT, WATER, CONTAINS 2% OR LESS OF THE FOLLOWING: CHICKEN BROTH, CHICKEN FAT, CHICKEN POWDER, DEHYDRATED RED BELL PEPPER, FLAVORS, GARLIC POWDER, MALTODEXTRIN, MODIFIED CORN STARCH, ONION POWDER, POTATO STARCH, SALT, SPICES, SUNFLOWER OIL, YEAST EXTRACT. CITRUS GARLIC GLAZE POUCH: CORN SYRUP, WATER, PINEAPPLE JUICE CONCENTRATE, GARLIC, MODIFIED CORN STARCH, CONTAINS 2% OR LESS OF ORANGE JUICE CONCENTRATE, ORANGE PEEL, LEMON JUICE CONCENTRATE, SOYBEAN OIL, SALT, GELATIN, KEY LIME JUICE CONCENTRATE, YEAST, CITRIC ACID, XANTHAN GUM, YEAST EXTRACT, NATURAL FLAVOR. CRISPY GARLIC POUCH: GARLIC, SUNFLOWER, SAFFLOWER AND/OR CANOLA OIL, ENRICHED FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID), SALT." Date available: 06/01/2018 Date last updated by company: 06/01/2018
