Source: USDA Branded Food Products Database Release July 2018 Software v.3.9.5 2018-08-15
Report Run at: August 19 2018 19:45 EDT
"Nutrient data for: DECADENT BROWNIE MIX, UPC: 644209425402"
Food Group:  Branded Food Products Database
Common Name:

Nutrient,Unit,Data points,Std. Error,"1 POUCH = 75.0g",1Value per 100 g,
Proximates
"Energy",kcal,--,--,340,453
"Protein",g,--,--,5.00,6.67
"Total lipid (fat)",g,--,--,12.00,16.00
"Carbohydrate, by difference",g,--,--,54.00,72.00
"Fiber, total dietary",g,--,--,2.0,2.7
"Sugars, total",g,--,--,40.00,53.33
Minerals
"Calcium, Ca",mg,--,--,0,0
"Iron, Fe",mg,--,--,3.60,4.80
"Sodium, Na",mg,--,--,210,280
Vitamins
"Vitamin C, total ascorbic acid",mg,--,--,0.0,0.0
"Vitamin A, IU",IU,--,--,0,0
Lipids
"Fatty acids, total saturated",g,--,--,9.000,12.000
"Fatty acids, total trans",g,--,--,0.000,0.000
"Cholesterol",mg,--,--,60,80
Amino Acids
Other
Ingredients
"SUGAR, WHEAT FLOUR, PALM OIL, COCOA POWDER PROCESSED WITH ALKALI, EGGS, PALM KERNEL AND PALM OIL, COCOA POWDER, SALT, NATURAL FLAVORS, SOY LECITHIN, WHEY, LEAVENING (BAKING SODA)." Date available: 05/19/2018 Date last updated by company: 05/19/2018
