Source: USDA Branded Food Products Database Release July 2018 Software v.3.9.5 2018-08-15
Report Run at: August 19 2018 17:51 EDT
"Nutrient data for: ANNIES HMGRWN ORG WHL MLK YGRT VERY VANILLA, UNPREPARED, GTIN: 00013562002658"
Food Group:  Branded Food Products Database
Common Name:

Nutrient,Unit,Data points,Std. Error,"1 cup (225g) = 225.0g",1Value per 100 g,
Proximates
"Protein",g,--,--,9.00,4.00
"Total lipid (fat)",g,--,--,7.00,3.11
"Carbohydrate, by difference",g,--,--,27.00,12.00
"Fiber, total dietary",g,--,--,0.0,0.0
"Sugars, total",g,--,--,22.00,9.78
Minerals
"Calcium, Ca",mg,--,--,299,133
"Iron, Fe",mg,--,--,0.00,0.00
"Sodium, Na",mg,--,--,140,62
Vitamins
"Vitamin C, total ascorbic acid",mg,--,--,0.0,0.0
"Vitamin A, IU",IU,--,--,200,89
"Vitamin D",IU,--,--,160,71
Lipids
"Fatty acids, total saturated",g,--,--,4.500,2.000
"Fatty acids, total trans",g,--,--,0.000,0.000
"Cholesterol",mg,--,--,29,13
Amino Acids
Other
Ingredients
"CULTURED PASTEURIZED GRADE A ORGANIC MILK, ORGANIC CANE SUGAR, ORGANIC TAPIOCA STARCH, PECTIN, ORGANIC LEMON JUICE CONCENTRATE, NATURAL FLAVOR, LIVE AND ACTIVE CULTURES (L. BULGARICUS, S. THERMOPHILUS, L. ACIDOPHILUS, BIFIDOBACTERIUM SP., L. PARACASEI), ORGANIC VANILLA EXTRACT, VITAMIN D3." Date available: 04/26/2018 Date last updated by company: 02/14/2018
