Source: USDA Branded Food Products Database Release July 2018 Software v.3.9.5 2018-08-15
Report Run at: August 19 2018 20:54 EDT
"Nutrient data for: MANGO CREAM, UPC: 892798000382"
Food Group:  Branded Food Products Database
Common Name:

Nutrient,Unit,Data points,Std. Error,"1 POUCH = 113.0g",1Value per 100 g,
Proximates
"Energy",kcal,--,--,120,106
"Protein",g,--,--,2.99,2.65
"Total lipid (fat)",g,--,--,2.50,2.21
"Carbohydrate, by difference",g,--,--,22.00,19.47
"Fiber, total dietary",g,--,--,1.0,0.9
"Sugars, total",g,--,--,19.00,16.81
Minerals
"Calcium, Ca",mg,--,--,99,88
"Iron, Fe",mg,--,--,0.00,0.00
"Sodium, Na",mg,--,--,80,71
Vitamins
"Vitamin C, total ascorbic acid",mg,--,--,0.0,0.0
"Vitamin A, IU",IU,--,--,99,88
Lipids
"Fatty acids, total saturated",g,--,--,1.503,1.330
"Fatty acids, total trans",g,--,--,0.000,0.000
"Cholesterol",mg,--,--,10,9
Amino Acids
Other
Ingredients
"PASTEURIZED MILK, CANE SUGAR, KESAR MANGO, PULP, CITRIC ACID, VANILLA, SALT" Date available: 05/14/2018 Date last updated by company: 05/14/2018
