Source: USDA Branded Food Products Database Release July 2018 Software v.3.9.5 2018-08-15
Report Run at: August 19 2018 20:45 EDT
"Nutrient data for: THIN SLICED HONEY OAT BREAD, UPC: 072220008739"
Food Group:  Branded Food Products Database
Common Name:

Nutrient,Unit,Data points,Std. Error,"1 SLICE = 25.0g",1Value per 100 g,
Proximates
"Energy",kcal,--,--,70,280
"Protein",g,--,--,2.00,8.00
"Total lipid (fat)",g,--,--,1.50,6.00
"Carbohydrate, by difference",g,--,--,12.00,48.00
"Fiber, total dietary",g,--,--,1.0,4.0
"Sugars, total",g,--,--,2.00,8.00
Minerals
"Calcium, Ca",mg,--,--,0,0
"Iron, Fe",mg,--,--,0.72,2.88
"Sodium, Na",mg,--,--,90,360
Vitamins
"Vitamin C, total ascorbic acid",mg,--,--,0.0,0.0
"Vitamin A, IU",IU,--,--,0,0
Lipids
"Fatty acids, total saturated",g,--,--,0.000,0.000
"Fatty acids, total trans",g,--,--,0.000,0.000
"Cholesterol",mg,--,--,0,0
Amino Acids
Other
Ingredients
"ORGANIC ENRICHED UNBLEACHED WHEAT FLOUR (ORGANIC WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMIN MONONITRATE, RIBOFLAVIN AND FOLIC ACID), FILTERED WATER, ORGANIC STEEL CUT OATS, ORGANIC SUNFLOWER SEEDS, ORGANIC HONEY, ORGANIC VITAL WHEAT GLUTEN, ORGANIC CANE SUGAR, ORGANIC BROWN SUGAR, CONTAINS 2% OR LESS OF EACH OF THE FOLLOWING: YEAST, ORGANIC OAT FLAKES, ORGANIC SOYBEAN OIL, SEA SALT, ORGANIC DISTILLED VINEGAR, DOUGH CONDITIONERS (ASCORBIC ACID), ENZYMES." Date available: 05/07/2018 Date last updated by company: 05/07/2018
