Source: USDA Branded Food Products Database Release July 2018 Software v.3.9.5 2018-08-15
Report Run at: August 19 2018 17:59 EDT
"Nutrient data for: PATRIOT SAUCE, UPC: 815416011218"
Food Group:  Branded Food Products Database
Common Name:

Nutrient,Unit,Data points,Std. Error,"2.0 Tbsp = 32.0g",1Value per 100 g,
Proximates
"Energy",kcal,--,--,35,109
"Protein",g,--,--,0.00,0.00
"Total lipid (fat)",g,--,--,0.00,0.00
"Carbohydrate, by difference",g,--,--,7.00,21.88
"Fiber, total dietary",g,--,--,0.0,0.0
"Sugars, total",g,--,--,3.00,9.38
Minerals
"Calcium, Ca",mg,--,--,0,0
"Iron, Fe",mg,--,--,0.00,0.00
"Sodium, Na",mg,--,--,380,1188
Vitamins
"Vitamin C, total ascorbic acid",mg,--,--,0.0,0.0
"Vitamin A, IU",IU,--,--,200,625
Lipids
"Fatty acids, total saturated",g,--,--,0.000,0.000
"Fatty acids, total trans",g,--,--,0.000,0.000
"Cholesterol",mg,--,--,0,0
Amino Acids
Other
Ingredients
"TOMATO PUREE (WATER, TOMATO PASTE, CITRIC ACID), BROWN SUGAR, VINEGAR, SUGAR, WORCESTERSHIRE SAUCE (DISTILLED VINEGAR, MOLASSES, CORN SYRUP, WATER, SALT, CARMEL COLOR, SUGAR, SPICES, ANCHOVIES, NATURAL FLAVOR, TAMARIND), MODIFIED CORN STARCH, CONTAINS LESS THAN 2%: SALT, GARLIC POWDER, BLACK PEPPER, CAYENNE PEPPER, CUMIN." Date available: 08/10/2017 Date last updated by company: 08/10/2017
