Source: USDA Branded Food Products Database Release July 2018 Software v.3.9.5 2018-08-15
Report Run at: August 19 2018 18:07 EDT
"Nutrient data for: CHEWY CHOCOLATE CHIP, UPC: 074175042233"
Food Group:  Branded Food Products Database
Common Name:

Nutrient,Unit,Data points,Std. Error,"1 BAR = 24.0g",1Value per 100 g,
Proximates
"Energy",kcal,--,--,100,417
"Protein",g,--,--,1.00,4.17
"Total lipid (fat)",g,--,--,3.00,12.50
"Carbohydrate, by difference",g,--,--,18.00,75.00
"Fiber, total dietary",g,--,--,1.0,4.2
"Sugars, total",g,--,--,7.00,29.17
Minerals
"Calcium, Ca",mg,--,--,80,333
"Iron, Fe",mg,--,--,0.36,1.50
"Sodium, Na",mg,--,--,75,312
Vitamins
"Vitamin C, total ascorbic acid",mg,--,--,0.0,0.0
"Vitamin A, IU",IU,--,--,0,0
Lipids
"Fatty acids, total saturated",g,--,--,1.500,6.250
"Fatty acids, total trans",g,--,--,0.000,0.000
"Cholesterol",mg,--,--,0,0
Amino Acids
Other
Ingredients
"GRANOLA (WHOLE GRAIN ROLLED OATS, SUGAR, WHOLE GRAIN ROLLED WHEAT, RICE, PALM OIL, MOLASSES, BAKING SODA, WHEY, SOY LECITHIN, SALT, MALTED BARLEY FLOUR, WHEAT FLOUR, DEXTROSE), CORN SYRUP, SEMI SWEET CHOCOLATE CHIPS (SUGAR, CHOCOLATE LIQUOR, COCOA BUTTER, SOY LECITHIN, SALT, VANILLA), BROWN CRISP RICE (BROWN RICE FLOUR [RICE FLOUR, RICE BRAN], SUGAR, SALT, MALT), INVERT SYRUP, CORN SYRUP SOLIDS, GLYCERIN, BROWN SUGAR, CANOLA OIL, SUGAR, SORBITOL, CALCIUM CARBONATE, SALT, SOY LECITHIN, NATURAL AND ARTIFICIAL FLAVORS, MIXED TOCOPHEROLS, ALMOND FLOUR, PEANUT FLOUR, TOASTED COCONUT." Date available: 07/14/2017 Date last updated by company: 07/14/2017
