Source: USDA Branded Food Products Database Release July 2018 Software v.3.9.5 2018-08-15
Report Run at: August 19 2018 18:22 EDT
"Nutrient data for: FRUIT JELLY BEANS, UPC: 077890350171"
Food Group:  Branded Food Products Database
Common Name:

Nutrient,Unit,Data points,Std. Error,"23.0 PCS = 40.0g",1Value per 100 g,
Proximates
"Energy",kcal,--,--,140,350
"Protein",g,--,--,0.00,0.00
"Total lipid (fat)",g,--,--,0.00,0.00
"Carbohydrate, by difference",g,--,--,36.00,90.00
"Fiber, total dietary",g,--,--,0.0,0.0
"Sugars, total",g,--,--,27.00,67.50
Minerals
"Calcium, Ca",mg,--,--,0,0
"Iron, Fe",mg,--,--,0.00,0.00
"Sodium, Na",mg,--,--,30,75
Vitamins
"Vitamin C, total ascorbic acid",mg,--,--,0.0,0.0
"Vitamin A, IU",IU,--,--,0,0
Lipids
"Fatty acids, total saturated",g,--,--,0.000,0.000
"Fatty acids, total trans",g,--,--,0.000,0.000
"Cholesterol",mg,--,--,0,0
Amino Acids
Other
Ingredients
"SUGAR, CORN SYRUP, MODIFIED FOOD STARCH, CONTAINS LESS THAN 0.5% OF THE FOLLOWING: CITRIC ACID, SODIUM CITRATE, NATURAL AND ARTIFICIAL FLAVORS, CONFECTIONER'S GLAZE, PECTIN, CARNAUBA WAX, WHITE MINERAL OIL, MAGNESIUM HYDROXIDE, ARTIFICIAL COLORS (FD&C RED #40, RED #40 LAKE, YELLOW #5, BLUE #1, BLUE #2 LAKE, RED #3)." Date available: 07/14/2017 Date last updated by company: 07/14/2017
