Source: USDA Branded Food Products Database Release July 2018 Software v.3.9.5 2018-08-15
Report Run at: August 19 2018 20:53 EDT
"Nutrient data for: UNCURED GENOA SALAMI, UPC: 079893110394"
Food Group:  Branded Food Products Database
Common Name:

Nutrient,Unit,Data points,Std. Error,"6.0 SLICES = 56.0g",1Value per 100 g,
Proximates
"Energy",kcal,--,--,190,339
"Protein",g,--,--,11.00,19.64
"Total lipid (fat)",g,--,--,16.00,28.57
"Carbohydrate, by difference",g,--,--,0.00,0.00
"Fiber, total dietary",g,--,--,0.0,0.0
"Sugars, total",g,--,--,0.00,0.00
Minerals
"Calcium, Ca",mg,--,--,0,0
"Iron, Fe",mg,--,--,0.72,1.29
"Sodium, Na",mg,--,--,830,1482
Vitamins
"Vitamin C, total ascorbic acid",mg,--,--,0.0,0.0
"Vitamin A, IU",IU,--,--,0,0
Lipids
"Fatty acids, total saturated",g,--,--,7.000,12.500
"Fatty acids, total trans",g,--,--,0.000,0.000
"Cholesterol",mg,--,--,50,89
Amino Acids
Other
Ingredients
"PORK, SEA SALT, CONTAINS LESS THAN 2% OF THE FOLLOWING: TURBINADO SUGAR, WINE, GARLIC, NATURAL FLAVORING, CELERY POWDER, LACTIC ACID STARTER CULTURE." Date available: 05/17/2018 Date last updated by company: 05/17/2018
