Source: USDA National Nutrient Database for Standard Reference 1 April 2018 Software v.3.9.5 2018-08-15
Basic Report
Report Run at: August 19 2018 18:51 EDT
"Nutrient data for: Frog legs, raw"
Nutrient,Unit,1Value per 100 g,"1 leg = 45.0g",
Proximates
"Water",g,81.90,36.86
"Energy",kcal,73,33
"Protein",g,16.40,7.38
"Total lipid (fat)",g,0.30,0.14
"Carbohydrate, by difference",g,0.00,0.00
"Fiber, total dietary",g,0.0,0.0
"Sugars, total",g,0.00,0.00
Minerals
"Calcium, Ca",mg,18,8
"Iron, Fe",mg,1.50,0.68
"Magnesium, Mg",mg,20,9
"Phosphorus, P",mg,147,66
"Potassium, K",mg,285,128
"Sodium, Na",mg,58,26
"Zinc, Zn",mg,1.00,0.45
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0
"Thiamin",mg,0.140,0.063
"Riboflavin",mg,0.250,0.113
"Niacin",mg,1.200,0.540
"Vitamin B-6",mg,0.120,0.054
"Folate, DFE",µg,15,7
"Vitamin B-12",µg,0.40,0.18
"Vitamin A, RAE",µg,15,7
"Vitamin A, IU",IU,50,22
"Vitamin E (alpha-tocopherol)",mg,1.00,0.45
"Vitamin D (D2 + D3)",µg,0.2,0.1
"Vitamin D",IU,8,4
"Vitamin K (phylloquinone)",µg,0.1,0.0
Lipids
"Fatty acids, total saturated",g,0.076,0.034
"Fatty acids, total monounsaturated",g,0.053,0.024
"Fatty acids, total polyunsaturated",g,0.102,0.046
"Cholesterol",mg,50,22
Amino Acids
Other
"Caffeine",mg,0,0
