Source: USDA Branded Food Products Database Release July 2018 Software v.3.9.5 2018-08-15
Report Run at: August 19 2018 20:51 EDT
"Nutrient data for: 2% MILKFAT REDUCED FAT MILK, UPC: 074175007409"
Food Group:  Branded Food Products Database
Common Name:

Nutrient,Unit,Data points,Std. Error,"1 cup = 240.0g",1Value per 100 g,
Proximates
"Energy",kcal,--,--,139,58
"Protein",g,--,--,10.01,4.17
"Total lipid (fat)",g,--,--,4.99,2.08
"Carbohydrate, by difference",g,--,--,13.99,5.83
"Fiber, total dietary",g,--,--,0.0,0.0
"Sugars, total",g,--,--,13.01,5.42
Minerals
"Calcium, Ca",mg,--,--,350,146
"Iron, Fe",mg,--,--,0.00,0.00
"Sodium, Na",mg,--,--,149,62
Vitamins
"Vitamin C, total ascorbic acid",mg,--,--,2.4,1.0
"Vitamin A, IU",IU,--,--,499,208
"Vitamin D",IU,--,--,101,42
Lipids
"Fatty acids, total saturated",g,--,--,3.000,1.250
"Fatty acids, total trans",g,--,--,0.000,0.000
"Cholesterol",mg,--,--,19,8
Amino Acids
Other
Ingredients
"REDUCED FAT MILK, SKIM MILK, VITAMIN A PALMITATE, VITAMIN D3." Date available: 06/08/2018 Date last updated by company: 06/08/2018
