Source: USDA Branded Food Products Database Release July 2018 Software v.3.9.5 2018-08-15
Report Run at: August 19 2018 19:49 EDT
"Nutrient data for: BABY CARROTS & CHEDDAR CHEESE KIT, UPC: 681131220941"
Food Group:  Branded Food Products Database
Common Name:

Nutrient,Unit,Data points,Std. Error,"1 TRAY = 162.0g",1Value per 100 g,
Proximates
"Energy",kcal,--,--,211,130
"Protein",g,--,--,9.01,5.56
"Total lipid (fat)",g,--,--,15.00,9.26
"Carbohydrate, by difference",g,--,--,11.00,6.79
"Fiber, total dietary",g,--,--,3.1,1.9
"Sugars, total",g,--,--,5.99,3.70
"Sugars, added",g,--,--,1.0,0.6
Minerals
"Calcium, Ca",mg,--,--,211,130
"Iron, Fe",mg,--,--,1.20,0.74
"Potassium, K",mg,--,--,350,216
"Sodium, Na",mg,--,--,539,333
Vitamins
Lipids
"Fatty acids, total saturated",g,--,--,5.006,3.090
"Fatty acids, total trans",g,--,--,0.000,0.000
"Cholesterol",mg,--,--,36,22
Amino Acids
Other
Ingredients
"CARROTS, RANCH DIP (NONFAT BUTTERMILK [WHEY, WATER, SKIM MILK POWDER, CORNSTARCH, TAPIOCA STARCH, CARRAGEENAN, LOCUST BEAN GUM, CULTURE], CANOLA OIL, WATER, EGG YOLK, SALT, DISTILLED VINEGAR, SUGAR, MODIFIED CORNSTARCH, DRIED ONION, GREEN ONION, DRIED GARLIC, APPLE CIDER VINEGAR, XANTHAN GUM, SPICES, SKIM MILK POWDER BLEND [DAIRY WHEY, SODIUM CASEINATE, SKIM MILK POWDER]), CHEDDAR CHEESE (PASTEURIZED MILK, CHEESE CULTURE, SALT, ENZYMES, ANNATTO [VEGETABLE COLOR]), BROCCOLI, TURKEY STICK (TURKEY, MECHANICALLY SEPARATED TURKEY, SALT, CORN SYRUP SOLIDS, SPICES, DEXTROSE, LACTIC ACID STARTER CULTURE, CARRAGEENAN, SODIUM ERYTHORBATE, GARLIC POWDER, SODIUM NITRITE. IN COLLAGEN CASING)." Date available: 05/19/2018 Date last updated by company: 05/19/2018
