Source: USDA Branded Food Products Database Release July 2018 Software v.3.9.5 2018-08-15
Report Run at: August 19 2018 17:56 EDT
"Nutrient data for: HEARTS OF ROMAINE, UPC: 030223004646"
Food Group:  Branded Food Products Database
Common Name:

Nutrient,Unit,Data points,Std. Error,"2.0 cup = 85.0g",1Value per 100 g,
Proximates
"Energy",kcal,--,--,15,18
"Protein",g,--,--,1.00,1.18
"Total lipid (fat)",g,--,--,0.00,0.00
"Carbohydrate, by difference",g,--,--,3.00,3.53
"Fiber, total dietary",g,--,--,2.0,2.4
"Sugars, total",g,--,--,1.00,1.18
Minerals
"Calcium, Ca",mg,--,--,20,24
"Iron, Fe",mg,--,--,0.72,0.85
"Sodium, Na",mg,--,--,5,6
Vitamins
"Vitamin C, total ascorbic acid",mg,--,--,3.6,4.2
"Vitamin A, IU",IU,--,--,7500,8824
Lipids
"Fatty acids, total saturated",g,--,--,0.000,0.000
"Fatty acids, total trans",g,--,--,0.000,0.000
"Cholesterol",mg,--,--,0,0
Amino Acids
Other
Ingredients
"ROMAINE" Date available: 03/03/2018 Date last updated by company: 03/03/2018
