Source: USDA Branded Food Products Database Release July 2018 Software v.3.9.5 2018-08-15
Report Run at: August 19 2018 20:53 EDT
"Nutrient data for: SPICED APPLES, APPLE CHUNKS COOKED IN A SWEET SAUCE OF APPLE CIDER, BROWN SUGAR AND CINNAMON, UPC: 021130066070"
Food Group:  Branded Food Products Database
Common Name:

Nutrient,Unit,Data points,Std. Error,"1 cup = 116.0g",1Value per 100 g,
Proximates
"Energy",kcal,--,--,130,112
"Protein",g,--,--,0.00,0.00
"Total lipid (fat)",g,--,--,0.50,0.43
"Carbohydrate, by difference",g,--,--,32.00,27.59
"Fiber, total dietary",g,--,--,1.0,0.9
"Sugars, total",g,--,--,30.00,25.86
"Sugars, added",g,--,--,17.1,14.7
Minerals
"Calcium, Ca",mg,--,--,16,14
"Iron, Fe",mg,--,--,0.00,0.00
"Potassium, K",mg,--,--,110,95
"Sodium, Na",mg,--,--,20,17
Vitamins
"Vitamin D",IU,--,--,0,0
Lipids
"Fatty acids, total saturated",g,--,--,0.000,0.000
"Fatty acids, total trans",g,--,--,0.000,0.000
"Cholesterol",mg,--,--,0,0
Amino Acids
Other
Ingredients
"APPLES (APPLES, SALT, ERYTHORBIC OR ASCORBIC ACID, CITRIC ACID AS A PRESERVATIVE), APPLE CIDER (WATER, APPLE CIDER CONCENTRATE, ASCORBIC ACID [VITAMIN C]), SUGAR, WATER, BROWN SUGAR, MODIFIED CORN STARCH, LEMON JUICE CONCENTRATE, BUTTER (SWEET CREAM, SALT), CINNAMON, NATURAL VANILLA FLAVOR, SODIUM BENZOATE (PRESERVATIVE), POTASSIUM SORBATE (PRESERVATIVE)." Date available: 05/17/2018 Date last updated by company: 05/17/2018
