Source: USDA Branded Food Products Database Release July 2018 Software v.3.9.5 2018-08-15
Report Run at: August 19 2018 20:50 EDT
"Nutrient data for: BAGUETTE CRISPS, UPC: 011225546594"
Food Group:  Branded Food Products Database
Common Name:

Nutrient,Unit,Data points,Std. Error,"10.0 CRISPS = 28.0g",1Value per 100 g,
Proximates
"Energy",kcal,--,--,100,357
"Protein",g,--,--,3.00,10.71
"Total lipid (fat)",g,--,--,2.00,7.14
"Carbohydrate, by difference",g,--,--,18.00,64.29
"Fiber, total dietary",g,--,--,1.0,3.6
"Sugars, total",g,--,--,0.00,0.00
Minerals
"Calcium, Ca",mg,--,--,0,0
"Iron, Fe",mg,--,--,1.10,3.93
"Potassium, K",mg,--,--,30,107
"Sodium, Na",mg,--,--,190,679
Vitamins
Lipids
"Fatty acids, total saturated",g,--,--,0.000,0.000
"Fatty acids, total monounsaturated",g,--,--,1.501,5.360
"Fatty acids, total polyunsaturated",g,--,--,0.000,0.000
"Fatty acids, total trans",g,--,--,0.000,0.000
"Cholesterol",mg,--,--,0,0
Amino Acids
Other
Ingredients
"UNBLEACHED WHEAT FLOUR (MALTED BARLEY FLOUR, NIACIN, ASCORBIC ACID, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, ENZYME, FOLIC ACID), WATER, MID OLEIC SUNFLOWER OIL, OLIVE OIL, SEA SALT, YEAST, WHEAT GLUTEN, MALTED BARLEY EXTRACT." Date available: 06/08/2018 Date last updated by company: 06/08/2018
