Source: USDA Branded Food Products Database Release July 2018 Software v.3.9.5 2018-08-15
Report Run at: August 19 2018 20:44 EDT
"Nutrient data for: MILK CHOCOLATE FLAVORED MELTING WAFERS, UPC: 747599408731"
Food Group:  Branded Food Products Database
Common Name:

Nutrient,Unit,Data points,Std. Error,"13.0 WAFERS = 30.0g",1Value per 100 g,
Proximates
"Energy",kcal,--,--,150,500
"Protein",g,--,--,2.00,6.67
"Total lipid (fat)",g,--,--,9.00,30.00
"Carbohydrate, by difference",g,--,--,17.00,56.67
"Fiber, total dietary",g,--,--,1.0,3.3
"Sugars, total",g,--,--,16.00,53.33
"Sugars, added",g,--,--,14.0,46.7
Minerals
"Calcium, Ca",mg,--,--,50,167
"Iron, Fe",mg,--,--,1.00,3.33
"Sodium, Na",mg,--,--,20,67
Vitamins
"Vitamin D",IU,--,--,0,0
Lipids
"Fatty acids, total saturated",g,--,--,8.001,26.670
"Fatty acids, total trans",g,--,--,0.000,0.000
"Cholesterol",mg,--,--,0,0
Amino Acids
Other
Ingredients
"SUGAR, PALM AND PALM KERNEL OIL, NONFAT DRY MILK, COCOA, WHOLE MILK POWDER, SOY LECITHIN, SORBITAN TRISTEARATE, SALT." Date available: 05/14/2018 Date last updated by company: 05/14/2018
