Source: USDA Branded Food Products Database Release July 2018 Software v.3.9.5 2018-08-15
Report Run at: August 19 2018 19:34 EDT
"Nutrient data for: NABISCO COOKIES OATMEAL RAISIN 1X0.75 OZ, UNPREPARED, GTIN: 00019320017759"
Food Group:  Branded Food Products Database
Common Name:

Nutrient,Unit,Data points,Std. Error,"1 pack (21g) = 21.0g",1Value per 100 g,
Proximates
"Protein",g,--,--,1.00,4.76
"Total lipid (fat)",g,--,--,3.50,16.67
"Carbohydrate, by difference",g,--,--,15.00,71.43
"Fiber, total dietary",g,--,--,0.0,0.0
"Sugars, total",g,--,--,6.00,28.57
Minerals
"Calcium, Ca",mg,--,--,4,21
"Iron, Fe",mg,--,--,0.76,3.62
"Potassium, K",mg,--,--,25,119
"Sodium, Na",mg,--,--,85,405
Vitamins
"Vitamin C, total ascorbic acid",mg,--,--,0.0,0.0
Lipids
"Fatty acids, total saturated",g,--,--,1.499,7.140
"Fatty acids, total trans",g,--,--,0.000,0.000
Amino Acids
Other
Ingredients
"INGREDIENTS: UNBLEACHED ENRICHED FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE VITAMIN B1, RIBOFLAVIN VITAMIN B2, FOLIC ACID), SUGAR, PALM OIL, OATMEAL, RAISINS, CORN FLOUR, MOLASSES, SALT, BAKING SODA, CINNAMON, CANOLA OIL, SOY LECITHIN, NATURAL AND ARTIFICIAL FLAVOR, CARAMEL COLOR." Date available: 02/01/2018 Date last updated by company: 02/01/2018
