Source: USDA Branded Food Products Database Release July 2018 Software v.3.9.5 2018-08-15
Report Run at: August 19 2018 20:49 EDT
"Nutrient data for: CHEWY CHOCOLATE CHUNK COOKIES, UPC: 819898011735"
Food Group:  Branded Food Products Database
Common Name:

Nutrient,Unit,Data points,Std. Error,"2.0 COOKIES = 25.0g",1Value per 100 g,
Proximates
"Energy",kcal,--,--,120,480
"Protein",g,--,--,1.00,4.00
"Total lipid (fat)",g,--,--,5.00,20.00
"Carbohydrate, by difference",g,--,--,17.00,68.00
"Fiber, total dietary",g,--,--,1.0,4.0
"Sugars, total",g,--,--,9.00,36.00
"Sugars, added",g,--,--,9.0,36.0
Minerals
"Calcium, Ca",mg,--,--,0,0
"Iron, Fe",mg,--,--,1.50,6.00
"Potassium, K",mg,--,--,63,252
"Sodium, Na",mg,--,--,70,280
Vitamins
"Vitamin D",IU,--,--,0,0
Lipids
"Fatty acids, total saturated",g,--,--,1.000,4.000
"Fatty acids, total monounsaturated",g,--,--,3.000,12.000
"Fatty acids, total polyunsaturated",g,--,--,1.000,4.000
"Fatty acids, total trans",g,--,--,0.000,0.000
"Cholesterol",mg,--,--,0,0
Amino Acids
Other
Ingredients
"UNBLEACHED ENRICHED FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, AND FOLIC ACID), CANOLA OIL, GRAPE JUICE, RICE DEXTRIN, SEMI-SWEET CHOCOLATE (SUGAR; UNSWEETENED CHOCOLATE; DEXTROSE; COCOA BUTTER; SOY LECITHIN (AN EMULSIFIER); NATURAL VANILLA EXTRACT), DATE PASTE, CANE SUGAR, NATURAL FLAVOR, INVERT CANE SUGAR, BAKING SODA, SALT." Date available: 05/05/2018 Date last updated by company: 05/05/2018
