Source: USDA Branded Food Products Database Release July 2018 Software v.3.9.5 2018-08-15
Report Run at: August 19 2018 18:21 EDT
"Nutrient data for: BEEF CHILI, UPC: 079893108582"
Food Group:  Branded Food Products Database
Common Name:

Nutrient,Unit,Data points,Std. Error,"1 BOWL = 269.0g",1Value per 100 g,
Proximates
"Energy",kcal,--,--,390,145
"Protein",g,--,--,23.99,8.92
"Total lipid (fat)",g,--,--,24.99,9.29
"Carbohydrate, by difference",g,--,--,18.00,6.69
"Fiber, total dietary",g,--,--,5.1,1.9
"Sugars, total",g,--,--,6.99,2.60
Minerals
"Calcium, Ca",mg,--,--,151,56
"Iron, Fe",mg,--,--,1.80,0.67
"Sodium, Na",mg,--,--,990,368
Vitamins
"Vitamin C, total ascorbic acid",mg,--,--,3.5,1.3
"Vitamin A, IU",IU,--,--,1001,372
Lipids
"Fatty acids, total saturated",g,--,--,11.997,4.460
"Fatty acids, total trans",g,--,--,0.995,0.370
"Cholesterol",mg,--,--,89,33
Amino Acids
Other
Ingredients
"CHILI (GROUND BEEF, TOMATOES IN PUREE [TOMATOES, TOMATO PUREE, CITRIC ACID], WATER, ONION, GREEN BELL PEPPER, RED BELL PEPPER, BLACK BEANS [BLACK BEANS, WATER, SALT], TOMATOES [TOMATOES, SALT, CITRIC ACID], OLIVE OIL, CHILI POWDER [GROUND CHILI PEPPER, SALT, SPICES, GARLIC, ETHOXYQUIN ADDED TO RETAIN COLOR], MODIFIED CORN STARCH, CHIPOTLE ADOBO PUREE [WATER, ONION, DRIED CHIPOTLE PEPPER, TOMATO PASTE, CANOLA OIL, SUGAR, VINEGAR, SALT, GARLIC, NATURAL SMOKE FLAVORING, SPICES], SALT, SPICES, GARLIC, PAPRIKA [ETHOXYQUIN ADDED TO RETAIN COLOR], SUGAR, GARLIC POWDER, ONION POWDER, CITRIC ACID), CHEDDAR CHEESE (PASTEURIZED CULTURED MILK, SALT, ENZYMES, ANNATTO COLOR, NATAMYCIN [MOLD INHIBITOR])." Date available: 11/05/2017 Date last updated by company: 11/05/2017
