Source: USDA Branded Food Products Database Release July 2018 Software v.3.9.5 2018-08-15
Report Run at: August 19 2018 22:40 EDT
"Nutrient data for: LENTIL BEAN, UPC: 071146003033"
Food Group:  Branded Food Products Database
Common Name:

Nutrient,Unit,Data points,Std. Error,"1 PACKAGE = 45.0g",1Value per 100 g,
Proximates
"Energy",kcal,--,--,190,422
"Protein",g,--,--,9.00,20.00
"Total lipid (fat)",g,--,--,9.00,20.00
"Carbohydrate, by difference",g,--,--,25.00,55.56
"Fiber, total dietary",g,--,--,5.0,11.1
"Sugars, total",g,--,--,1.00,2.22
Minerals
"Calcium, Ca",mg,--,--,100,222
"Iron, Fe",mg,--,--,2.70,6.00
"Potassium, K",mg,--,--,330,733
"Sodium, Na",mg,--,--,150,333
Vitamins
"Vitamin C, total ascorbic acid",mg,--,--,4.8,10.7
"Vitamin A, IU",IU,--,--,750,1667
Lipids
"Fatty acids, total saturated",g,--,--,0.500,1.110
"Fatty acids, total trans",g,--,--,0.000,0.000
"Cholesterol",mg,--,--,0,0
Amino Acids
Other
Ingredients
"LENTIL BEANS, VEGETABLE OIL (CANOLA, SUNFLOWER, AND/OR SAFFLOWER OIL), RICE, LESS THAN 2% OF MALTODEXTRIN, SALT, SUGAR, CALCIUM CARBONATE, NATURAL FLAVORS, ONION POWDER, NATURAL GLYCERINE, GARLIC POWDER, TAPIOCA DEXTRIN, CITRIC ACID, NATURAL EXTRACTIVES OF PAPRIKA, SPICES, EXTRA VIRGIN OLIVE OIL, YEAST EXTRACT, WHITE DISTILLED VINEGAR POWDER, EXTRACTIVE OF TOMATO, WATER, ASCORBIC ACID, NATURAL MIXED TOCOPHEROLS, QUILLAJA EXTRACT, SUNFLOWER OIL, CANOLA OIL, NATURAL FLAVOR (ROSEMARY EXTRACT), AND VITAMIN C (ASCORBYL PALMITATE)." Date available: 05/19/2018 Date last updated by company: 05/19/2018
