Source: USDA Branded Food Products Database Release July 2018 Software v.3.9.5 2018-08-15
Report Run at: August 19 2018 23:32 EDT
"Nutrient data for: CRANBERRY POMEGRANATE FLAVORED PROTEIN GREEN TEA, UPC: 859046001027"
Food Group:  Branded Food Products Database
Common Name:

Nutrient,Unit,Data points,Std. Error,"1 BOTTLE = 473.0g",1Value per 100 g,
Proximates
"Energy",kcal,--,--,90,19
"Protein",g,--,--,9.98,2.11
"Total lipid (fat)",g,--,--,0.00,0.00
"Carbohydrate, by difference",g,--,--,12.01,2.54
"Fiber, total dietary",g,--,--,5.2,1.1
"Sugars, total",g,--,--,6.01,1.27
Minerals
"Sodium, Na",mg,--,--,5,1
Vitamins
Lipids
Amino Acids
Other
Ingredients
"WATER, WHEY PROTEIN ISOLATE (MILK), CHICORY ROOT INULIN, ORGANIC CANE SUGAR, BREWED GREEN TEA CONCENTRATE, NATURAL FLAVOR, CITRIC ACID, FRUIT & VEGETABLE JUICE (FOR COLOR), STEVIA EXTRACT." Date available: 05/16/2018 Date last updated by company: 05/16/2018
