Source: USDA Branded Food Products Database Release July 2018 Software v.3.9.5 2018-08-15
Report Run at: August 19 2018 17:57 EDT
"Nutrient data for: CUT PINEAPPLE IN PINEAPPLE JUICE, UPC: 041512085130"
Food Group:  Branded Food Products Database
Common Name:

Nutrient,Unit,Data points,Std. Error,"0.5 cup = 133.0g",1Value per 100 g,
Proximates
"Energy",kcal,--,--,80,60
"Protein",g,--,--,0.00,0.00
"Total lipid (fat)",g,--,--,0.00,0.00
"Carbohydrate, by difference",g,--,--,19.01,14.29
"Fiber, total dietary",g,--,--,1.1,0.8
"Sugars, total",g,--,--,16.00,12.03
Minerals
"Calcium, Ca",mg,--,--,0,0
"Iron, Fe",mg,--,--,0.36,0.27
"Sodium, Na",mg,--,--,0,0
Vitamins
"Vitamin C, total ascorbic acid",mg,--,--,9.0,6.8
"Vitamin A, IU",IU,--,--,0,0
Lipids
"Fatty acids, total saturated",g,--,--,0.000,0.000
"Fatty acids, total trans",g,--,--,0.000,0.000
"Cholesterol",mg,--,--,0,0
Amino Acids
Other
Ingredients
"PINEAPPLE AND PINEAPPLE JUICE." Date available: 11/04/2017 Date last updated by company: 11/04/2017
