Source: USDA Branded Food Products Database Release July 2018 Software v.3.9.5 2018-08-15
Report Run at: August 19 2018 19:33 EDT
"Nutrient data for: NABISCO TRISCUIT CRACKERS RYE WITH CARAWAY SEED 1X9.000 OZ, UNPREPARED, GTIN: 00044000028039"
Food Group:  Branded Food Products Database
Common Name:

Nutrient,Unit,Data points,Std. Error,"0.0  = 28.0g",1Value per 100 g,
Proximates
"Protein",g,--,--,3.00,10.71
"Sugars, total",g,--,--,0.00,0.00
Minerals
"Calcium, Ca",mg,--,--,13570,48464
"Iron, Fe",mg,--,--,990.00,3535.71
"Phosphorus, P",mg,--,--,133,476
"Potassium, K",mg,--,--,115,411
"Sodium, Na",mg,--,--,160,571
Vitamins
"Vitamin C, total ascorbic acid",mg,--,--,160.0,571.4
Lipids
"Fatty acids, total saturated",g,--,--,0.501,1.790
"Fatty acids, total monounsaturated",g,--,--,1.000,3.570
"Fatty acids, total trans",g,--,--,0.000,0.000
Amino Acids
Other
Ingredients
"INGREDIENTS: WHOLE GRAIN WHEAT, VEGETABLE OIL (SOYBEAN OR CANOLA OIL), WHOLE GRAIN RYE, CARAWAY SEEDS, SEA SALT." Date available: 02/19/2018 Date last updated by company: 08/21/2017
