Source: USDA Branded Food Products Database Release July 2018 Software v.3.9.5 2018-08-15
Report Run at: August 19 2018 20:15 EDT
"Nutrient data for: VANILLA BEAN SUPER PREMIUM ICE CREAM, UPC: 011225549557"
Food Group:  Branded Food Products Database
Common Name:

Nutrient,Unit,Data points,Std. Error,"1 cup = 86.0g",1Value per 100 g,
Proximates
"Energy",kcal,--,--,200,233
"Protein",g,--,--,3.00,3.49
"Total lipid (fat)",g,--,--,12.00,13.95
"Carbohydrate, by difference",g,--,--,19.00,22.09
"Fiber, total dietary",g,--,--,0.0,0.0
"Sugars, total",g,--,--,18.00,20.93
Minerals
"Calcium, Ca",mg,--,--,100,116
"Iron, Fe",mg,--,--,0.00,0.00
"Potassium, K",mg,--,--,150,174
"Sodium, Na",mg,--,--,50,58
Vitamins
"Vitamin C, total ascorbic acid",mg,--,--,0.0,0.0
"Vitamin A, IU",IU,--,--,500,581
Lipids
"Fatty acids, total saturated",g,--,--,7.998,9.300
"Fatty acids, total trans",g,--,--,0.000,0.000
"Cholesterol",mg,--,--,65,76
Amino Acids
Other
Ingredients
"CREAM, MILK, SKIM MILK, SUGAR, EGG YOLKS, VANILLA EXTRACT, CAROB BEAN GUM, GUAR GUM, CARRAGEENAN, GROUND VANILLA BEANS." Date available: 05/15/2018 Date last updated by company: 05/15/2018
